recombinations,back mutations,recurrent mutations,run seed,recombination cost,recurrent mutation cost,back mutation cost
8,0,0,871759410,0.5,1,1.1
5,0,1,1173,0.5,1,1.1
8,0,0,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
8,0,0,871759410,0.5,1,1.1
10,0,0,1173,0.5,1,1.1
7,0,1,2009979162,0.5,1,1.1
10,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
8,0,1,871759410,0.5,1,1.1
7,0,1,1173,0.5,1,1.1
7,0,1,2009979162,0.5,1,1.1
10,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
8,0,1,871759410,0.5,1,1.1
7,0,1,1173,0.5,1,1.1
7,0,1,2009979162,0.5,1,1.1
10,0,0,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
8,0,1,871759410,0.5,1,1.1
5,0,1,1173,0.5,1,1.1
4,0,2,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
10,0,1,1525782637,0.5,1,1.1
8,0,0,871759410,0.5,1,1.1
5,0,1,1173,0.5,1,1.1
5,0,1,2009979162,0.5,1,1.1
8,0,0,847755545,0.5,1,1.1
11,0,1,1525782637,0.5,1,1.1
8,0,0,871759410,0.5,1,1.1
5,0,2,1173,0.5,1,1.1
5,0,2,2009979162,0.5,1,1.1
8,0,1,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
10,0,0,871759410,0.5,1,1.1
8,0,1,1173,0.5,1,1.1
8,0,1,2009979162,0.5,1,1.1
8,0,1,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
10,0,0,871759410,0.5,1,1.1
5,0,3,1173,0.5,1,1.1
8,0,2,2009979162,0.5,1,1.1
8,0,1,847755545,0.5,1,1.1
11,1,0,1525782637,0.5,1,1.1
10,0,0,871759410,0.5,1,1.1
7,0,1,1173,0.5,1,1.1
7,0,1,2009979162,0.5,1,1.1
10,0,0,847755545,0.5,1,1.1
